"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
32768	s	16809984	0.168	0.000	0.170
32768	s	16809984	0.172	0.000	0.170
32768	s	16809984	0.172	0.000	0.170
32768	s	16809984	0.180	0.000	0.180
32768	s	16809984	0.171	0.000	0.170
65536	s	16842752	0.111	0.000	0.110
65536	s	16842752	0.110	0.000	0.110
65536	s	16842752	0.106	0.020	0.090
65536	s	16842752	0.105	0.000	0.100
65536	s	16842752	0.108	0.000	0.110
512	-	33554944	0.090	0.050	0.040
512	-	33554944	0.125	0.040	0.090
512	-	33554944	0.124	0.050	0.070
512	-	33554944	0.127	0.020	0.100
512	-	33554944	0.122	0.050	0.080
1024	-	33555456	0.092	0.050	0.040
1024	-	33555456	0.087	0.010	0.080
1024	-	33555456	0.057	0.000	0.050
1024	-	33555456	0.087	0.000	0.090
1024	-	33555456	0.092	0.040	0.060
2048	-	33556480	0.035	0.030	0.010
2048	-	33556480	0.040	0.010	0.020
2048	-	33556480	0.034	0.000	0.030
2048	-	33556480	0.075	0.010	0.070
2048	-	33556480	0.070	0.010	0.060
4096	-	33558528	0.031	0.000	0.030
4096	-	33558528	0.056	0.010	0.050
4096	-	33558528	0.031	0.000	0.030
4096	-	33558528	0.058	0.010	0.050
4096	-	33558528	0.027	0.000	0.020
8192	-	33562624	0.055	0.000	0.060
8192	-	33562624	0.027	0.000	0.020
8192	-	33562624	0.057	0.000	0.060
8192	-	33562624	0.059	0.010	0.050
8192	-	33562624	0.057	0.010	0.050
16384	-	33570816	0.054	0.000	0.060
16384	-	33570816	0.023	0.000	0.020
16384	-	33570816	0.056	0.000	0.050
16384	-	33570816	0.053	0.000	0.060
16384	-	33570816	0.055	0.000	0.050
32768	-	33587200	0.022	0.010	0.010
32768	-	33587200	0.022	0.000	0.020
32768	-	33587200	0.024	0.000	0.020
32768	-	33587200	0.054	0.010	0.050
32768	-	33587200	0.023	0.000	0.020
65536	-	33619968	0.027	0.000	0.030
65536	-	33619968	0.051	0.000	0.050
65536	-	33619968	0.054	0.000	0.060
65536	-	33619968	0.053	0.000	0.050
65536	-	33619968	0.056	0.000	0.060
512	s	33554944	13.818	0.660	13.150
512	s	33554944	13.860	0.510	13.360
512	s	33554944	13.890	0.550	13.340
512	s	33554944	13.833	0.440	13.380
512	s	33554944	13.934	0.640	13.300
1024	s	33555456	7.155	0.290	6.860
1024	s	33555456	7.245	0.320	6.930
1024	s	33555456	7.089	0.260	6.830
1024	s	33555456	7.098	0.260	6.840
1024	s	33555456	7.121	0.260	6.860
